,File1,File2,Correlation
365,KIRIINDUS,RSYSTEMS,0.15829731350823711
366,KIRIINDUS,IVZINNIFTY,-0.07574175678478326
367,KIRIINDUS,OMAXAUTO,0.06588176412272309
368,KIRIINDUS,CANFINHOME,0.23411682783314613
369,KIRIINDUS,JAYAGROGN,0.12904091893859218
370,KIRIINDUS,KWALITY,0.044811123616052266
371,KIRIINDUS,ADVANIHOTR,0.09878591062315674
372,KIRIINDUS,WILLAMAGOR,-0.008616676586472433
373,KIRIINDUS,LSIL,0.028636939649216774
374,KIRIINDUS,SHAHALLOYS,0.1601853965559851
375,KIRIINDUS,SUMEETINDS,0.03228334774828304
376,KIRIINDUS,CYIENT,0.12420043679343494
377,KIRIINDUS,FIEMIND,0.28012279937800366
378,KIRIINDUS,GATI,0.22033832110450696
379,KIRIINDUS,WALCHANNAG,-0.0466375799045651
380,KIRIINDUS,TTL,0.07391742204368437
381,KIRIINDUS,CIMMCO,-0.07932570319636577
382,KIRIINDUS,CADILAHC,0.221555640707724
383,KIRIINDUS,HEG,0.22426276762612532
384,KIRIINDUS,ELECTCAST,0.1705212957453359
385,KIRIINDUS,KHADIM,0.12373917094365923
386,KIRIINDUS,HDFC,0.23220236096476438
387,KIRIINDUS,ZEEL,0.24228723887644185
388,KIRIINDUS,SBIN,0.29415983201287876
389,KIRIINDUS,IDFCFIRSTB,0.27038634318526056
390,KIRIINDUS,VERTOZ,0.019598231308951785
391,KIRIINDUS,DHFL,0.1021290573238371
392,KIRIINDUS,MMTC,0.23339065763588746
393,KIRIINDUS,SAFARI,0.12791890768457229
394,KIRIINDUS,ICICINF100,0.07955716490933795
395,KIRIINDUS,JUSTDIAL,0.2221634530087768
396,KIRIINDUS,PALASHSECU,0.02716714347301225
397,KIRIINDUS,MAGMA,0.1540534770947175
398,KIRIINDUS,MUNJALAU,0.2450742705864611
399,KIRIINDUS,HNDFDS,0.023405675996659166
400,KIRIINDUS,NETF,0.07046769906304796
401,KIRIINDUS,ORIENTCEM,0.29515723698606067
402,KIRIINDUS,APCOTEXIND,0.24262141568991272
403,KIRIINDUS,LGBFORGE,-0.016654271138933727
404,KIRIINDUS,ONWARDTEC,0.06291239749388125
405,KIRIINDUS,ORISSAMINE,0.10689947643750441
406,KIRIINDUS,NATNLSTEEL,-0.037409006463550054
407,KIRIINDUS,VISAKAIND,0.3039404171257719
408,KIRIINDUS,LYPSAGEMS,0.013519932392496933
409,KIRIINDUS,HMVL,0.2439236053336572
410,KIRIINDUS,LINCOLN,0.25448933873879953
411,KIRIINDUS,MMP,0.20741808383210583
412,KIRIINDUS,GESHIP,0.18694306509099268
413,KIRIINDUS,NAGREEKCAP,-0.0213450793756013
414,KIRIINDUS,TATAGLOBAL,0.21874215904001082
415,KIRIINDUS,HUDCO,0.23371988162461535
416,KIRIINDUS,DYNAMATECH,0.032388901054465465
417,KIRIINDUS,EXCELINDUS,0.2109907044888018
418,KIRIINDUS,ARIES,0.24494869993424823
419,KIRIINDUS,WELSPUNIND,0.24322052774419212
420,KIRIINDUS,BEPL,0.19039944742045267
421,KIRIINDUS,NH,0.15548866917893342
422,KIRIINDUS,ALEMBICLTD,0.1583600274881497
423,KIRIINDUS,TRITURBINE,0.19461962412996753
424,KIRIINDUS,IRB,0.2455004443073352
425,KIRIINDUS,NETFCONSUM,0.2314320167767157
426,KIRIINDUS,VIVIDHA,-0.026417283674913156
427,KIRIINDUS,ICICIGI,0.19939863476609995
428,KIRIINDUS,HERCULES,0.24910352340123382
429,KIRIINDUS,NAVKARCORP,0.2249144153949216
430,KIRIINDUS,SOMATEX,0.0003460826335546737
431,KIRIINDUS,OLECTRA,0.10352920479752205
432,KIRIINDUS,JBMA,0.21083993652455044
433,KIRIINDUS,AGRITECH,0.022562745874055597
434,KIRIINDUS,IRCTC,0.14047788874981898
435,KIRIINDUS,JINDALPHOT,0.0696820396282406
436,KIRIINDUS,GOLDSHARE,0.030843527933511576
437,KIRIINDUS,KECL,-0.00036466040449775706
438,KIRIINDUS,INDIAGLYCO,0.26132979982603116
439,KIRIINDUS,DPSCLTD,0.07752127452424953
440,KIRIINDUS,GLOBUSSPR,0.12960904211456228
