Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CLOSING_PRICE,LOG_DIFF_CH_CLOSING_PRICE
632,3MINDIA,EQ,N,24850.0,24335.05,24750.0,24382.0,24357.0,24665.65,1014,24830189.55,31000.0,18024.25,674,INE470A01017,2021-08-04,24487.37,-0.0115664323274788,-0.011566432327478893
633,3MINDIA,EQ,N,24600.0,24110.0,24400.0,24416.65,24598.0,24382.0,1182,28736025.7,31000.0,18024.25,725,INE470A01017,2021-08-05,24311.36,0.001420121492023,0.0014201214920230854
634,3MINDIA,EQ,N,24620.0,24354.1,24455.0,24446.8,24500.0,24416.65,926,22675135.55,31000.0,18024.25,550,INE470A01017,2021-08-06,24487.19,0.0012340513748512,0.0012340513748512194
635,3MINDIA,EQ,N,24587.85,24155.25,24400.0,24319.6,24241.0,24446.8,991,24117422.0,31000.0,18024.25,603,INE470A01017,2021-08-09,24336.45,-0.0052167184155429,-0.0052167184155429425
636,3MINDIA,EQ,N,24500.0,23700.0,24500.0,23922.7,23937.15,24319.6,12585,301604969.2,31000.0,18024.25,1438,INE470A01017,2021-08-10,23965.43,-0.0164548106277191,-0.01645481062771914
637,3MINDIA,EQ,N,24000.05,23500.0,23970.0,23692.6,23799.5,23922.7,1898,44984232.35,31000.0,18024.25,1016,INE470A01017,2021-08-11,23700.86,-0.0096650358682985,-0.009665035868298588
638,3MINDIA,EQ,N,24966.15,23704.85,23810.0,24596.85,24700.0,23692.6,11674,285083825.65,31000.0,18024.25,4573,INE470A01017,2021-08-12,24420.41,0.0374556228606159,0.03745562286061599
639,3MINDIA,EQ,N,24650.0,24000.0,24650.0,24076.2,24030.0,24596.85,2093,50559839.95,31000.0,18024.25,1144,INE470A01017,2021-08-13,24156.64,-0.0213945852801167,-0.02139458528011673
640,3MINDIA,EQ,N,24399.4,23800.0,24076.0,23842.25,23810.0,24076.2,1389,33323877.1,31000.0,18024.25,849,INE470A01017,2021-08-16,23991.27,-0.0097645837404236,-0.00976458374042366
641,3MINDIA,EQ,N,24100.0,23695.0,24100.0,23780.3,24000.15,23842.25,4460,106105555.85,31000.0,18024.25,3328,INE470A01017,2021-08-17,23790.48,-0.002601710111886,-0.0026017101118860353
642,3MINDIA,EQ,N,23835.35,23440.0,23827.05,23477.0,23460.0,23780.3,15171,356769120.75,31000.0,18024.25,3145,INE470A01017,2021-08-18,23516.52,-0.0128362883430863,-0.012836288343086366
643,3MINDIA,EQ,N,23789.95,22700.0,23440.05,22839.65,22800.0,23477.0,7309,170089886.8,31000.0,18024.25,2241,INE470A01017,2021-08-20,23271.29,-0.0275231578059695,-0.02752315780596959
644,3MINDIA,EQ,N,23272.5,22741.95,23199.65,22799.9,22828.8,22839.65,3628,82923902.1,31000.0,18024.25,1535,INE470A01017,2021-08-23,22856.64,-0.0017419106915372,-0.001741910691537285
645,3MINDIA,EQ,N,23228.5,22750.75,22950.0,23193.25,23150.05,22799.9,26375,602379334.45,31000.0,18024.25,1329,INE470A01017,2021-08-24,22839.03,0.0171051380768769,0.01710513807687697
646,3MINDIA,EQ,N,23389.95,22678.55,23298.85,22791.5,22818.0,23193.25,4147,95382812.55,31000.0,18024.25,1643,INE470A01017,2021-08-25,23000.44,-0.0174736286297019,-0.01747362862970192
647,3MINDIA,EQ,N,23100.0,22760.0,22818.05,22828.1,22870.45,22791.5,1862,42632479.5,31000.0,18024.25,1217,INE470A01017,2021-08-26,22896.07,0.0016045738170742,0.0016045738170742396
648,3MINDIA,EQ,N,22805.1,22575.25,22705.1,22643.35,22688.15,22828.1,2514,56952957.2,31000.0,18024.25,1563,INE470A01017,2021-08-27,22654.32,-0.0081260226634647,-0.008126022663464738
649,3MINDIA,EQ,N,23062.45,22618.0,22688.15,22979.1,23007.45,22643.35,21577,492685319.55,31000.0,18024.25,1836,INE470A01017,2021-08-30,22833.82,0.0147188965761504,0.014718896576150442
650,3MINDIA,EQ,N,24838.3,23100.0,23100.0,24391.45,24005.0,22979.1,16209,392376256.65,31000.0,18024.25,7478,INE470A01017,2021-08-31,24207.31,0.0596475538924199,0.059647553892419936
651,3MINDIA,EQ,N,25304.0,24164.1,24391.45,25060.1,25000.0,24391.45,7005,174098004.5,31000.0,18024.25,3687,INE470A01017,2021-09-01,24853.39,0.0270442788277271,0.027044278827727197
652,3MINDIA,EQ,N,25368.0,24400.0,25060.1,24543.05,24500.0,25060.1,4121,102630294.7,31000.0,18024.25,2478,INE470A01017,2021-09-02,24904.22,-0.0208482214445897,-0.020848221444589754
653,3MINDIA,EQ,N,25000.0,24400.0,24900.0,24537.05,24600.0,24543.05,4348,107829469.0,31000.0,18024.25,1631,INE470A01017,2021-09-03,24799.79,-0.0002444982805602,-0.0002444982805602791
654,3MINDIA,EQ,N,24989.95,24402.0,24603.0,24496.25,24425.0,24537.05,1442,35576786.45,31000.0,18024.25,938,INE470A01017,2021-09-06,24671.84,-0.0016641755466686,-0.0016641755466686448
655,3MINDIA,EQ,N,24667.95,24120.0,24500.0,24339.95,24339.7,24496.25,1896,46255089.8,31000.0,18024.25,1298,INE470A01017,2021-09-07,24396.14,-0.0064010112855736,-0.006401011285573688
656,3MINDIA,EQ,N,24624.95,24211.15,24500.0,24341.75,24350.05,24339.95,3627,88531011.85,31000.0,18024.25,1180,INE470A01017,2021-09-08,24408.88,7.394975938979087e-05,7.394975938979087e-05
